time,event,vehicle_id,x,y,ratio,state
0.0,Request 20 arrives,0,40.0,50.0,1.0,idle
0.0,Request 20 arrives,1,40.0,50.0,1.0,idle
0.0,Request 20 arrives,2,40.0,50.0,1.0,idle
0.0,Request 20 arrives,3,40.0,50.0,1.0,idle
0.0,Request 20 arrives,4,40.0,50.0,1.0,idle
0.0,Request 20 arrives,5,40.0,50.0,1.0,idle
0.4583333333333333,V0 arrive→R20,0,30.0,50.0,0.9833333333333333,busy
0.4583333333333333,V0 arrive→R20,1,40.0,50.0,1.0,idle
0.4583333333333333,V0 arrive→R20,2,40.0,50.0,1.0,idle
0.4583333333333333,V0 arrive→R20,3,40.0,50.0,1.0,idle
0.4583333333333333,V0 arrive→R20,4,40.0,50.0,1.0,idle
0.4583333333333333,V0 arrive→R20,5,40.0,50.0,1.0,idle
0.4583333333333333,V0 finish→R20,0,30.0,50.0,0.9833333333333333,busy
0.4583333333333333,V0 finish→R20,1,40.0,50.0,1.0,idle
0.4583333333333333,V0 finish→R20,2,40.0,50.0,1.0,idle
0.4583333333333333,V0 finish→R20,3,40.0,50.0,1.0,idle
0.4583333333333333,V0 finish→R20,4,40.0,50.0,1.0,idle
0.4583333333333333,V0 finish→R20,5,40.0,50.0,1.0,idle
0.4583333333333333,Request 67 arrives,0,30.0,50.0,0.9833333333333333,busy
0.4583333333333333,Request 67 arrives,1,40.0,50.0,1.0,idle
0.4583333333333333,Request 67 arrives,2,40.0,50.0,1.0,idle
0.4583333333333333,Request 67 arrives,3,40.0,50.0,1.0,idle
0.4583333333333333,Request 67 arrives,4,40.0,50.0,1.0,idle
0.4583333333333333,Request 67 arrives,5,40.0,50.0,1.0,idle
0.5284425935955617,V1 arrive→R67,0,30.0,50.0,0.9833333333333333,busy
0.5284425935955617,V1 arrive→R67,1,47.0,40.0,0.9796557406404438,busy
0.5284425935955617,V1 arrive→R67,2,40.0,50.0,1.0,idle
0.5284425935955617,V1 arrive→R67,3,40.0,50.0,1.0,idle
0.5284425935955617,V1 arrive→R67,4,40.0,50.0,1.0,idle
0.5284425935955617,V1 arrive→R67,5,40.0,50.0,1.0,idle
0.5284425935955617,V1 finish→R67,0,30.0,50.0,0.9833333333333333,busy
0.5284425935955617,V1 finish→R67,1,47.0,40.0,0.9796557406404438,busy
0.5284425935955617,V1 finish→R67,2,40.0,50.0,1.0,idle
0.5284425935955617,V1 finish→R67,3,40.0,50.0,1.0,idle
0.5284425935955617,V1 finish→R67,4,40.0,50.0,1.0,idle
0.5284425935955617,V1 finish→R67,5,40.0,50.0,1.0,idle
0.5284425935955617,Request 5 arrives,0,30.0,50.0,0.9833333333333333,busy
0.5284425935955617,Request 5 arrives,1,47.0,40.0,0.9796557406404438,busy
0.5284425935955617,Request 5 arrives,2,40.0,50.0,1.0,idle
0.5284425935955617,Request 5 arrives,3,40.0,50.0,1.0,idle
0.5284425935955617,Request 5 arrives,4,40.0,50.0,1.0,idle
0.5284425935955617,Request 5 arrives,5,40.0,50.0,1.0,idle
0.627212432507026,V2 arrive→R5,0,30.0,50.0,0.9833333333333333,busy
0.627212432507026,V2 arrive→R5,1,47.0,40.0,0.9796557406404438,busy
0.627212432507026,V2 arrive→R5,2,42.0,65.0,0.9747787567492975,busy
0.627212432507026,V2 arrive→R5,3,40.0,50.0,1.0,idle
0.627212432507026,V2 arrive→R5,4,40.0,50.0,1.0,idle
0.627212432507026,V2 arrive→R5,5,40.0,50.0,1.0,idle
0.627212432507026,V2 finish→R5,0,30.0,50.0,0.9833333333333333,busy
0.627212432507026,V2 finish→R5,1,47.0,40.0,0.9796557406404438,busy
0.627212432507026,V2 finish→R5,2,42.0,65.0,0.9747787567492975,busy
0.627212432507026,V2 finish→R5,3,40.0,50.0,1.0,idle
0.627212432507026,V2 finish→R5,4,40.0,50.0,1.0,idle
0.627212432507026,V2 finish→R5,5,40.0,50.0,1.0,idle
0.627212432507026,Request 43 arrives,0,30.0,50.0,0.9833333333333333,busy
0.627212432507026,Request 43 arrives,1,47.0,40.0,0.9796557406404438,busy
0.627212432507026,Request 43 arrives,2,42.0,65.0,0.9747787567492975,busy
0.627212432507026,Request 43 arrives,3,40.0,50.0,1.0,idle
0.627212432507026,Request 43 arrives,4,40.0,50.0,1.0,idle
0.627212432507026,Request 43 arrives,5,40.0,50.0,1.0,idle
